epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
91,1080.83,2.61407,1.36312,0.00135,0.47512,0.33036,0.31239,0.08536,3.12228,1.88114,0.0025,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
92,1092.44,2.67697,1.31671,0.00138,0.41582,0.44643,0.35812,0.10409,2.975,2.24721,0.00246,0.0281982,0.0093994,0.0281982,0.0093994,0.0281982,0.0093994,0.0281982,0.0093994
93,1104.07,2.62141,1.36006,0.00135,0.5778,0.41071,0.40756,0.12129,2.87059,1.93995,0.00228,0.0281784,0.0093928,0.0281784,0.0093928,0.0281784,0.0093928,0.0281784,0.0093928
94,1115.68,2.59091,1.42783,0.00134,0.40985,0.35714,0.31751,0.09032,2.8827,2.20786,0.00227,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862
95,1127.4,2.67508,1.3933,0.00135,0.41339,0.37946,0.31349,0.0899,3.06419,1.93952,0.00247,0.0281388,0.0093796,0.0281388,0.0093796,0.0281388,0.0093796,0.0281388,0.0093796
96,1139.05,2.60831,1.36062,0.00138,0.46271,0.41071,0.36307,0.109,2.88359,2.2536,0.00227,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373
97,1150.67,2.67268,1.45549,0.00142,0.58079,0.42677,0.39589,0.12276,2.80972,1.93347,0.0022,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664
98,1162.29,2.60961,1.40655,0.00136,0.41491,0.4375,0.32777,0.0951,2.92235,1.98763,0.00233,0.0280794,0.0093598,0.0280794,0.0093598,0.0280794,0.0093598,0.0280794,0.0093598
99,1174.01,2.66247,1.38639,0.00139,0.4802,0.34375,0.3367,0.10435,3.02189,2.1126,0.00238,0.0280596,0.0093532,0.0280596,0.0093532,0.0280596,0.0093532,0.0280596,0.0093532
100,1185.63,2.66874,1.38594,0.00136,0.56149,0.42411,0.37782,0.11104,2.84072,2.08382,0.00229,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466
101,1197.25,2.64642,1.42734,0.00136,0.46438,0.41071,0.33827,0.09778,2.94538,1.82304,0.00238,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
