epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
85,1717.92,2.61826,1.35421,0.00139,0.47151,0.37839,0.34929,0.10111,2.77195,1.78407,0.00224,0.0283368,0.0094456,0.0283368,0.0094456,0.0283368,0.0094456,0.0283368,0.0094456
86,1737.83,2.57209,1.35884,0.00128,0.36129,0.25,0.28012,0.10528,3.19546,4.88889,0.00236,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439
87,1757.78,2.61477,1.3623,0.00133,0.66421,0.375,0.40168,0.12678,2.97349,1.97165,0.00231,0.0282972,0.0094324,0.0282972,0.0094324,0.0282972,0.0094324,0.0282972,0.0094324
88,1777.75,2.64255,1.34804,0.00134,0.53924,0.33036,0.33478,0.11328,3.02793,1.90545,0.00242,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258
89,1797.73,2.54068,1.38076,0.00127,0.5108,0.37946,0.31664,0.09913,2.78869,1.97107,0.00218,0.0282576,0.0094192,0.0282576,0.0094192,0.0282576,0.0094192,0.0282576,0.0094192
90,1817.66,2.60748,1.34264,0.00131,0.26161,0.47768,0.32057,0.10508,2.7228,3.26337,0.00222,0.0282378,0.0094126,0.0282378,0.0094126,0.0282378,0.0094126,0.0282378,0.0094126
91,1837.65,2.54669,1.28873,0.00128,0.60662,0.46875,0.45284,0.13281,2.77534,1.7661,0.00219,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
92,1857.61,2.57798,1.32835,0.0013,0.48729,0.47321,0.36698,0.11447,2.65303,1.74013,0.00215,0.0281982,0.0093994,0.0281982,0.0093994,0.0281982,0.0093994,0.0281982,0.0093994
93,1877.59,2.63162,1.31245,0.00134,0.5157,0.40625,0.39162,0.1277,2.80965,1.94508,0.00226,0.0281784,0.0093928,0.0281784,0.0093928,0.0281784,0.0093928,0.0281784,0.0093928
94,1897.54,2.62292,1.33669,0.00134,0.59477,0.41282,0.44273,0.14437,2.73803,2.18442,0.00207,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862
95,1917.59,2.59187,1.38889,0.00128,0.50631,0.47768,0.43085,0.15435,2.58458,2.14271,0.00205,0.0281388,0.0093796,0.0281388,0.0093796,0.0281388,0.0093796,0.0281388,0.0093796
96,1937.58,2.60411,1.32852,0.00137,0.53816,0.46298,0.38669,0.11296,2.84084,1.70549,0.00223,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373
97,1957.6,2.66559,1.22522,0.00138,0.60467,0.46429,0.40775,0.12312,2.90486,1.72687,0.00223,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664
98,1977.54,2.57025,1.36717,0.00132,0.38995,0.39286,0.3487,0.09346,2.8417,2.04874,0.00228,0.0280794,0.0093598,0.0280794,0.0093598,0.0280794,0.0093598,0.0280794,0.0093598
99,1997.48,2.4651,1.3444,0.00125,0.4858,0.39225,0.36024,0.1185,2.73215,2.34632,0.00213,0.0280596,0.0093532,0.0280596,0.0093532,0.0280596,0.0093532,0.0280596,0.0093532
100,2017.44,2.50641,1.34522,0.00124,0.44793,0.40625,0.33571,0.09152,2.80789,1.93253,0.00224,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466
101,2037.4,2.52968,1.39768,0.00125,0.44072,0.38345,0.31649,0.10185,2.69197,2.13143,0.00219,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
102,2057.36,2.53459,1.32044,0.00127,0.49058,0.35268,0.32458,0.0904,2.80317,2.24917,0.00227,0.0280002,0.0093334,0.0280002,0.0093334,0.0280002,0.0093334,0.0280002,0.0093334
103,2077.31,2.52123,1.33933,0.00126,0.5676,0.42779,0.38783,0.12312,2.71282,1.95248,0.00217,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268
104,2097.29,2.47614,1.32362,0.00125,0.48858,0.41964,0.39405,0.12059,2.79475,1.81245,0.00219,0.0279606,0.0093202,0.0279606,0.0093202,0.0279606,0.0093202,0.0279606,0.0093202
105,2117.24,2.62062,1.34471,0.00138,0.56395,0.44196,0.3906,0.11291,2.69857,1.89112,0.00217,0.0279408,0.0093136,0.0279408,0.0093136,0.0279408,0.0093136,0.0279408,0.0093136
106,2137.21,2.53778,1.36468,0.00125,0.50913,0.34375,0.34159,0.11433,2.88123,2.0698,0.00232,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
107,2157.17,2.58263,1.3616,0.00129,0.52169,0.44643,0.41203,0.11654,2.81352,1.77953,0.00228,0.0279012,0.0093004,0.0279012,0.0093004,0.0279012,0.0093004,0.0279012,0.0093004
108,2177.14,2.50808,1.30741,0.0013,0.4715,0.47321,0.41717,0.13309,2.74758,1.8866,0.00221,0.0278814,0.0092938,0.0278814,0.0092938,0.0278814,0.0092938,0.0278814,0.0092938
109,2197.13,2.52387,1.30019,0.00124,0.61224,0.4375,0.44034,0.13766,2.7205,1.87459,0.00219,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872
110,2217.16,2.44711,1.31077,0.00119,0.5401,0.42857,0.41991,0.12488,2.92772,1.74628,0.00233,0.0278418,0.0092806,0.0278418,0.0092806,0.0278418,0.0092806,0.0278418,0.0092806
111,2237.12,2.44614,1.25445,0.00122,0.65156,0.46875,0.48392,0.15532,2.53815,1.82229,0.00204,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
112,2257.13,2.47093,1.28388,0.00125,0.5777,0.42857,0.40883,0.11891,2.61777,1.88187,0.00206,0.0278022,0.0092674,0.0278022,0.0092674,0.0278022,0.0092674,0.0278022,0.0092674
113,2277.08,2.45567,1.33738,0.00124,0.4611,0.42857,0.39193,0.12275,2.64963,2.02053,0.00212,0.0277824,0.0092608,0.0277824,0.0092608,0.0277824,0.0092608,0.0277824,0.0092608
114,2297.05,2.52075,1.22627,0.00133,0.6538,0.48056,0.49034,0.14277,2.79659,1.94328,0.0022,0.0277626,0.0092542,0.0277626,0.0092542,0.0277626,0.0092542,0.0277626,0.0092542
115,2317.02,2.47851,1.23679,0.00123,0.5283,0.34821,0.33297,0.10734,3.01786,1.92623,0.00243,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476
116,2337.06,2.5076,1.29618,0.00126,0.51178,0.45089,0.3743,0.10682,2.79314,1.6599,0.00228,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241
117,2357.04,2.51655,1.28123,0.00127,0.54291,0.4375,0.37706,0.11404,2.78786,1.61984,0.00222,0.0277032,0.0092344,0.0277032,0.0092344,0.0277032,0.0092344,0.0277032,0.0092344
118,2376.99,2.54986,1.22533,0.00126,0.61134,0.48661,0.4542,0.12449,2.93525,1.71098,0.00232,0.0276834,0.0092278,0.0276834,0.0092278,0.0276834,0.0092278,0.0276834,0.0092278
119,2396.95,2.45188,1.25194,0.00122,0.64657,0.42857,0.42232,0.13076,2.79174,1.92702,0.00221,0.0276636,0.0092212,0.0276636,0.0092212,0.0276636,0.0092212,0.0276636,0.0092212
120,2416.92,2.43854,1.34029,0.00122,0.57682,0.45639,0.44543,0.14042,2.73751,1.97332,0.00215,0.0276438,0.0092146,0.0276438,0.0092146,0.0276438,0.0092146,0.0276438,0.0092146
121,2436.9,2.49036,1.31031,0.00131,0.51504,0.5,0.43237,0.1419,2.62219,1.60725,0.00211,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
122,2456.86,2.4787,1.24063,0.00124,0.59862,0.4375,0.4116,0.12814,2.91491,1.71239,0.00228,0.0276042,0.0092014,0.0276042,0.0092014,0.0276042,0.0092014,0.0276042,0.0092014
123,2476.83,2.53917,1.12593,0.00126,0.5899,0.50446,0.44779,0.14574,2.75807,1.58607,0.00217,0.0275844,0.0091948,0.0275844,0.0091948,0.0275844,0.0091948,0.0275844,0.0091948
124,2496.79,2.41577,1.25661,0.00124,0.51762,0.46947,0.37921,0.11966,2.72076,1.72739,0.00217,0.0275646,0.0091882,0.0275646,0.0091882,0.0275646,0.0091882,0.0275646,0.0091882
125,2516.75,2.46603,1.2067,0.00122,0.63421,0.4375,0.40313,0.12675,2.87198,1.76055,0.00229,0.0275448,0.0091816,0.0275448,0.0091816,0.0275448,0.0091816,0.0275448,0.0091816
126,2536.72,2.48582,1.21306,0.00124,0.56091,0.39732,0.37326,0.1378,2.70555,1.96303,0.00215,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
127,2556.67,2.37909,1.18038,0.00121,0.62016,0.45982,0.43336,0.12968,2.74954,1.7277,0.00217,0.0275052,0.0091684,0.0275052,0.0091684,0.0275052,0.0091684,0.0275052,0.0091684
128,2576.63,2.43265,1.24544,0.00123,0.58229,0.45982,0.42867,0.13393,2.76495,1.95227,0.00216,0.0274854,0.0091618,0.0274854,0.0091618,0.0274854,0.0091618,0.0274854,0.0091618
