epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
116,62654,2.28644,1.43708,0.69627,0.38009,0.32409,0.28078,0.07686,2.13609,1.19414,0.65938,0.007723,0.007723,0.007723
117,63205.3,2.59666,1.61368,0.75723,0.43405,0.24286,0.23485,0.07186,2.05051,1.18658,0.63495,0.0077032,0.0077032,0.0077032
118,63765.1,2.41683,1.47952,0.74206,0.35944,0.32857,0.26735,0.07426,2.0946,1.14897,0.66987,0.0076834,0.0076834,0.0076834
119,64334,2.40895,1.46777,0.7649,0.41247,0.33571,0.25748,0.06849,2.06258,1.16501,0.65662,0.0076636,0.0076636,0.0076636
120,64891.5,2.52635,1.55707,0.74498,0.34621,0.27143,0.18508,0.05582,2.2263,1.1992,0.68522,0.0076438,0.0076438,0.0076438
121,65443.4,2.52057,1.58376,0.76557,0.43667,0.29346,0.26208,0.06924,2.06225,1.34023,0.65088,0.007624,0.007624,0.007624
122,65984.1,2.4721,1.50652,0.72082,0.49096,0.33571,0.29618,0.07716,2.05088,1.11776,0.6547,0.0076042,0.0076042,0.0076042
123,66524.6,2.53666,1.61446,0.74636,0.41838,0.32372,0.27463,0.06669,2.10002,1.16355,0.6531,0.0075844,0.0075844,0.0075844
124,67065.2,2.53583,1.51385,0.7459,0.35798,0.30714,0.22685,0.05407,2.26233,1.31589,0.65121,0.0075646,0.0075646,0.0075646
125,67604,2.39724,1.55513,0.75572,0.50888,0.25714,0.26839,0.07412,2.06241,1.20021,0.63711,0.0075448,0.0075448,0.0075448
126,68143.6,2.45682,1.56644,0.72415,0.38314,0.25714,0.23595,0.06962,2.10466,1.23305,0.63704,0.007525,0.007525,0.007525
127,68682.4,2.4105,1.33225,0.74948,0.41986,0.28571,0.24635,0.06279,2.13698,1.2108,0.63203,0.0075052,0.0075052,0.0075052
128,69220.3,2.31661,1.50951,0.71935,0.3697,0.28571,0.27209,0.08012,1.93529,1.15889,0.62908,0.0074854,0.0074854,0.0074854
129,69758.4,2.57353,1.62978,0.74485,0.37196,0.32997,0.22731,0.06978,1.96236,1.23865,0.63597,0.0074656,0.0074656,0.0074656
130,70299.1,2.5931,1.63274,0.75711,0.32469,0.26429,0.19642,0.0543,2.1491,1.22123,0.66398,0.0074458,0.0074458,0.0074458
131,70836.4,2.40669,1.53276,0.72817,0.43351,0.32251,0.29075,0.0852,1.97397,1.14261,0.66034,0.007426,0.007426,0.007426
132,71373.5,2.46089,1.51563,0.77142,0.39246,0.28608,0.1943,0.05581,2.11056,1.23516,0.66358,0.0074062,0.0074062,0.0074062
133,71911.6,2.57658,1.55955,0.81372,0.37173,0.30431,0.22843,0.06676,2.01714,1.16294,0.6525,0.0073864,0.0073864,0.0073864
134,72450.4,2.42642,1.47028,0.72853,0.33977,0.27857,0.24965,0.07522,2.01115,1.20526,0.63768,0.0073666,0.0073666,0.0073666
135,72989.1,2.45437,1.60662,0.77185,0.46496,0.27934,0.24685,0.07114,2.06549,1.39979,0.64911,0.0073468,0.0073468,0.0073468
136,73528.1,2.39008,1.53636,0.74257,0.45585,0.34286,0.25791,0.07445,1.96121,1.18437,0.66001,0.007327,0.007327,0.007327
137,74068.1,2.38753,1.49205,0.74474,0.34729,0.28571,0.20771,0.05967,2.12764,1.26657,0.64475,0.0073072,0.0073072,0.0073072
138,74606.3,2.45246,1.46718,0.75861,0.40059,0.29286,0.24308,0.07109,1.9784,1.20229,0.64046,0.0072874,0.0072874,0.0072874
139,75145.3,2.4205,1.35179,0.70598,0.41122,0.27143,0.24968,0.07377,1.92521,1.10434,0.62623,0.0072676,0.0072676,0.0072676
140,75693.2,2.4321,1.52482,0.77863,0.36341,0.27857,0.21018,0.06038,1.93828,1.29607,0.64716,0.0072478,0.0072478,0.0072478
141,76246.7,2.265,1.41416,0.73189,0.46953,0.32857,0.29991,0.09453,1.86921,1.20626,0.64343,0.007228,0.007228,0.007228
142,76793.1,2.33036,1.46343,0.72041,0.38175,0.27857,0.21184,0.0723,1.93101,1.18282,0.6281,0.0072082,0.0072082,0.0072082
143,77332.4,2.4433,1.53179,0.78368,0.39862,0.28882,0.22349,0.0764,1.82699,1.26279,0.63691,0.0071884,0.0071884,0.0071884
144,77874.3,2.47057,1.53718,0.76408,0.38612,0.31002,0.22253,0.06221,1.98815,1.23411,0.62908,0.0071686,0.0071686,0.0071686
145,78411.6,2.37211,1.44566,0.72051,0.42488,0.29552,0.24563,0.0786,1.96109,1.22886,0.62507,0.0071488,0.0071488,0.0071488
146,78951.8,2.45254,1.48114,0.7643,0.40052,0.32143,0.24646,0.06939,1.91548,1.18702,0.63785,0.007129,0.007129,0.007129
147,79491,2.31727,1.40877,0.70665,0.41756,0.30714,0.2494,0.07817,1.9689,1.16552,0.634,0.0071092,0.0071092,0.0071092
148,80029.2,2.37025,1.48789,0.73711,0.36912,0.32143,0.26217,0.07177,1.99372,1.19521,0.64774,0.0070894,0.0070894,0.0070894
